A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,Val,Target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10398.099609,10380.769531
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10380.769531,10529.759766
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10529.759766,10541.040039
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10541.040039,10510.679688
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10510.679688,10512.799805
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10512.799805,10589.759766
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10589.759766,10499.040039
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10499.040039,10502.860352
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10502.860352,10518.980469
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10518.980469,10557.099609
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10557.099609,10437.30957
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10437.30957,10274.519531
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10274.519531,10345.110352
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10345.110352,10464.419922
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10464.419922,10401.900391
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10401.900391,10478.660156
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10478.660156,10360.339844
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10360.339844,10237.919922
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10237.919922,10274.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10274.5,10457.360352
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10457.360352,10431.360352
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10431.360352,10543.519531
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10543.519531,10592.040039
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10592.040039,10635.980469
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10635.980469,10617.830078
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10617.830078,10605.650391
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10605.650391,10725.540039
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10725.540039,10746.669922
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10746.669922,10808.290039
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10808.290039,10836.639648
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10836.639648,10842.799805
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10842.799805,10857.530273
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10857.530273,10664.700195
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10664.700195,10579.099609
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10579.099609,10452.709961
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10452.709961,10526.759766
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10526.759766,10624.089844
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10624.089844,10754.030273
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10754.030273,10492.379883
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10492.379883,10586.019531
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10586.019531,10693.660156
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10693.660156,10505.019531
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10505.019531,10525.19043
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10525.19043,10589.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10589.5,10434.379883
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10434.379883,10254.429688
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10254.429688,9620.490234
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9620.490234,8605.150391
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8605.150391,9093.719727
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9093.719727,8962.669922
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8962.669922,9206.75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9206.75,9608.320313
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9608.320313,9449.469727
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9449.469727,9435.009766
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9435.009766,9536.129883
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9536.129883,9478.530273
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9478.530273,9459.080078
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9459.080078,9708.790039
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9708.790039,9755.099609
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9755.099609,9708.389648
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9708.389648,9718.889648
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9718.889648,9615.549805
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9615.549805,9584.370117
