,Date,Openly,Highest,Lowermost,Close,Volume,avg
1331,2000-01-04,8644.91,8803.61,8642.5,8756.55,,8723.055
1332,2000-01-05,8690.6,8867.68,8668.02,8849.87,,8767.85
1333,2000-01-06,8900.56,9023.99,8863.91,8922.03,,8943.95
1334,2000-01-07,8853.43,8940.77,8739.43,8845.47,,8840.1
1335,2000-01-10,8941.93,9126.02,8891.79,9102.6,,9008.905
1336,2000-01-11,9254.18,9332.52,8890.45,8927.03,,9111.485
1337,2000-01-12,8964.78,9144.65,8937.31,9144.65,,9040.98
1338,2000-01-13,9215.76,9237.85,9095.35,9107.19,,9166.6
1339,2000-01-14,9219.37,9236.85,8967.56,9023.24,,9102.205
1340,2000-01-17,9256.57,9384.52,9230.39,9315.43,,9307.455
1341,2000-01-18,9353.89,9353.89,9210.36,9250.19,,9282.125
1342,2000-01-19,9255.7,9335.73,9136.76,9151.44,,9236.245
1343,2000-01-20,9175.27,9211.34,9077.7,9136.95,,9144.52
1344,2000-01-21,9183.56,9305.27,9183.56,9255.94,,9244.415
1345,2000-01-24,9327.98,9425.87,9327.98,9387.07,,9376.925
1346,2000-01-25,9412.24,9413.21,9308.01,9372.37,,9360.61
1347,2000-01-26,9469.74,9617.32,9469.74,9581.96,,9543.53
1348,2000-01-27,9684.45,9733.26,9618.3,9628.98,,9675.78
1349,2000-01-28,9627.92,9753.72,9627.92,9696.91,,9690.82
1350,2000-01-31,9653.24,9749.51,9613.8,9744.89,,9681.655
1351,2000-02-01,9829.68,9901.8,9800.63,9856.39,,9851.215
1352,2000-02-09,10137.24,10137.24,9932.07,10008.88,,10034.655
1353,2000-02-10,10028.34,10098.3,9957.66,10057.67,,10027.98
1354,2000-02-11,10171.8,10227.33,10096.54,10128.67,,10161.935
1355,2000-02-14,10152.46,10167.71,9963.5,9971.45,,10065.605
1356,2000-02-15,9993.63,10014.25,9853.86,9957.74,,9934.055
1357,2000-02-16,10010.87,10099.97,10010.87,10064.49,,10055.42
1358,2000-02-17,10109.85,10267.46,10109.85,10202.2,,10188.655
1359,2000-02-18,10311.27,10393.59,10062.23,10096.38,,10227.91
1360,2000-02-21,10165.24,10212.99,9912.67,9912.67,,10062.83
1361,2000-02-22,9853.16,9917.13,9596.68,9731.93,,9756.905
1362,2000-02-23,9738.19,9803.81,9623.46,9642.26,,9713.635
1363,2000-02-24,9725.3,9781.31,9582.0,9599.17,,9681.655
1364,2000-02-25,9620.92,9639.12,9407.79,9432.49,,9523.455
1365,2000-02-29,9525.65,9581.0,9410.11,9435.94,,9495.555
1366,2000-03-01,9572.24,9689.1,9572.24,9689.1,,9630.67
1367,2000-03-02,9781.27,9781.27,9538.12,9543.82,,9659.695
1368,2000-03-03,9557.66,9650.74,9547.4,9588.03,,9599.07
1369,2000-03-06,9519.8,9519.8,9356.58,9367.91,,9438.19
1370,2000-03-07,9367.91,9440.32,9286.39,9380.07,,9363.355
1371,2000-03-08,9413.57,9482.18,9379.29,9389.49,,9430.735
1372,2000-03-09,9453.7,9587.27,9453.7,9587.27,,9520.485
1373,2000-03-10,9706.02,9712.39,9422.08,9429.6,,9567.235
1374,2000-03-13,9229.49,9229.49,8807.36,8811.95,,9018.425
1375,2000-03-14,8694.87,8871.83,8598.07,8835.58,,8734.95
1376,2000-03-15,8794.3,8905.82,8634.49,8640.03,,8770.155
1377,2000-03-16,8357.63,8714.06,8250.46,8682.76,,8482.26
1378,2000-03-17,8700.99,8799.09,8610.58,8763.27,,8704.835
1379,2000-03-20,8483.41,8536.05,8483.41,8536.05,,8509.73
1380,2000-03-21,8380.79,9021.89,8355.89,9004.48,,8688.89
1381,2000-03-22,9009.07,9201.15,8908.32,9069.39,,9054.735
1382,2000-03-23,9198.45,9567.89,9198.45,9533.87,,9383.17
1383,2000-03-24,9571.28,9571.28,9405.14,9482.64,,9488.21
1384,2000-03-27,9531.91,9858.57,9531.91,9807.57,,9695.24
1385,2000-03-28,9919.75,9985.15,9772.54,9856.6,,9878.845
1386,2000-03-29,9844.41,9914.14,9794.48,9805.69,,9854.31
1387,2000-03-30,9846.64,10071.26,9846.64,9931.94,,9958.95
1388,2000-03-31,9903.56,10011.96,9798.61,9854.95,,9905.285
