,Date,Openly,Highest,Lowermost,Close,Volume,avg
1090,1999-01-05,6210.41,6310.41,6111.64,6152.43,,6211.025
1091,1999-01-06,6082.02,6280.93,5988.06,6199.91,,6134.495
1092,1999-01-07,6280.38,6409.55,6181.62,6404.31,,6295.585
1093,1999-01-08,6371.34,6492.87,6371.34,6421.75,,6432.105
1094,1999-01-11,6472.02,6492.9,6392.49,6406.99,,6442.695
1095,1999-01-12,6429.54,6441.79,6357.11,6363.89,,6399.45
1096,1999-01-13,6293.59,6365.6,6292.55,6319.34,,6329.075
1097,1999-01-14,6295.99,6595.99,6187.32,6241.32,,6391.655
1098,1999-01-15,6190.95,6454.6,6176.09,6454.6,,6315.345
1099,1999-01-18,6436.17,6477.44,6377.25,6377.25,,6427.345
1100,1999-01-19,6358.88,6421.78,6323.89,6343.36,,6372.835
1101,1999-01-20,6355.15,6360.75,6292.0,6310.71,,6326.375
1102,1999-01-21,6332.68,6424.54,6330.23,6332.2,,6377.385
1103,1999-01-22,6303.86,6328.31,6221.24,6228.95,,6274.775
1104,1999-01-25,6142.73,6161.8,6018.98,6032.15,,6090.39
1105,1999-01-26,6083.57,6115.64,5987.42,6115.64,,6051.53
1106,1999-01-27,6161.78,6204.46,6129.4,6138.87,,6166.93
1107,1999-01-28,6110.82,6145.77,6058.71,6063.41,,6102.24
1108,1999-01-29,6090.44,6090.44,5975.48,5984.0,,6032.96
1109,1999-02-01,5948.35,5948.35,5859.0,5862.79,,5903.675
1110,1999-02-02,5892.93,5892.93,5726.25,5749.64,,5809.59
1111,1999-02-03,5658.01,5772.89,5596.58,5743.86,,5684.735
1112,1999-02-04,5711.8,5747.47,5502.54,5514.89,,5625.005
1113,1999-02-05,5506.55,5625.65,5422.66,5474.79,,5524.155
1114,1999-02-08,5784.14,5839.15,5757.61,5822.98,,5798.38
1115,1999-02-09,5798.92,5798.92,5721.35,5723.73,,5760.135
1116,1999-02-10,5669.23,5811.33,5669.23,5798.0,,5740.28
1117,1999-02-22,6216.01,6343.84,6164.38,6313.63,,6254.11
1118,1999-02-23,6339.24,6408.76,6167.29,6180.94,,6288.025
1119,1999-02-24,6165.65,6268.71,6158.35,6238.87,,6213.53
1120,1999-02-25,6279.35,6362.31,6235.07,6275.53,,6298.69
1121,1999-02-26,6272.11,6318.52,6224.44,6318.52,,6271.48
1122,1999-03-01,6328.22,6351.69,6275.81,6312.25,,6313.75
1123,1999-03-02,6312.71,6343.3,6227.34,6263.54,,6285.32
1124,1999-03-03,6261.3,6421.31,6257.02,6403.14,,6339.165
1125,1999-03-04,6444.51,6468.85,6384.19,6393.74,,6426.52
1126,1999-03-05,6430.55,6460.74,6333.26,6383.09,,6397.0
1127,1999-03-08,6441.13,6444.48,6386.28,6431.96,,6415.38
1128,1999-03-09,6448.13,6535.15,6447.41,6493.43,,6491.28
1129,1999-03-10,6495.14,6519.27,6458.3,6486.61,,6488.785
1130,1999-03-11,6507.15,6537.35,6430.55,6436.8,,6483.95
1131,1999-03-12,6447.07,6472.63,6412.47,6462.73,,6442.55
1132,1999-03-15,6474.0,6598.32,6440.94,6598.32,,6519.63
1133,1999-03-16,6644.53,6722.3,6616.64,6672.23,,6669.47
1134,1999-03-17,6724.49,6808.4,6702.67,6757.07,,6755.535
1135,1999-03-18,6795.41,6895.01,6785.96,6895.01,,6840.485
1136,1999-03-19,6934.58,7023.57,6914.19,6997.29,,6968.88
1137,1999-03-22,7009.05,7064.34,6976.73,7043.23,,7020.535
1138,1999-03-23,7107.2,7133.03,6937.73,6945.48,,7035.38
1139,1999-03-24,6873.47,6933.01,6844.09,6889.42,,6888.55
1140,1999-03-25,6929.67,6969.37,6878.22,6941.38,,6923.795
1141,1999-03-26,7004.46,7059.45,6971.55,7033.25,,7015.5
1142,1999-03-29,7057.17,7062.9,6898.44,6901.68,,6980.67
1143,1999-03-30,6965.99,6968.48,6828.99,6898.66,,6898.735
1144,1999-03-31,6894.64,6937.14,6834.33,6881.72,,6885.735
1145,1999-04-01,6876.2,7018.68,6875.67,7018.68,,6947.175
1146,1999-04-02,7070.32,7232.51,7070.32,7232.51,,7151.415
1147,1999-04-06,7232.46,7245.68,7157.0,7163.99,,7201.34
1148,1999-04-07,7178.0,7190.57,7110.38,7135.89,,7150.475
1149,1999-04-08,7193.57,7316.16,7193.57,7273.41,,7254.865
1150,1999-04-09,7331.08,7384.98,7260.38,7265.7,,7322.68
1151,1999-04-12,7278.53,7306.55,7188.92,7242.4,,7247.735
1152,1999-04-13,7281.74,7344.63,7279.04,7337.85,,7311.835
1153,1999-04-14,7366.44,7448.65,7366.44,7398.65,,7407.545
1154,1999-04-15,7417.14,7498.17,7339.48,7498.17,,7418.825
1155,1999-04-16,7529.47,7594.45,7414.62,7466.82,,7504.535
1156,1999-04-19,7609.0,7685.14,7609.0,7623.18,,7647.07
1157,1999-04-20,7587.32,7674.84,7537.25,7627.74,,7606.045
1158,1999-04-21,7684.9,7706.01,7452.34,7474.16,,7579.175
1159,1999-04-22,7515.11,7548.46,7444.57,7494.6,,7496.515
1160,1999-04-23,7561.35,7659.59,7561.35,7612.8,,7610.47
1161,1999-04-26,7652.05,7665.29,7563.35,7629.09,,7614.32
1162,1999-04-27,7656.89,7668.82,7521.84,7550.13,,7595.33
1163,1999-04-28,7559.7,7579.99,7479.99,7496.61,,7529.99
1164,1999-04-29,7412.18,7436.22,7274.21,7289.62,,7355.215
1165,1999-04-30,7265.01,7372.98,7209.51,7371.17,,7291.245
1166,1999-05-03,7393.58,7403.68,7312.47,7383.26,,7358.075
1167,1999-05-04,7433.52,7588.04,7433.52,7588.04,,7510.78
1168,1999-05-05,7594.28,7644.45,7554.19,7572.16,,7599.32
1169,1999-05-06,7619.44,7664.89,7545.33,7560.05,,7605.11
1170,1999-05-07,7538.73,7582.34,7456.99,7469.33,,7519.665
1171,1999-05-10,7441.28,7484.37,7399.92,7484.37,,7442.145
1172,1999-05-11,7530.27,7584.57,7466.15,7474.45,,7525.36
1173,1999-05-12,7516.13,7532.07,7423.38,7448.41,,7477.725
1174,1999-05-13,7458.02,7499.63,7411.14,7416.2,,7455.385
1175,1999-05-14,7470.19,7592.98,7470.19,7592.53,,7531.585
1176,1999-05-17,7646.45,7705.63,7587.76,7599.76,,7646.695
1177,1999-05-18,7646.59,7658.67,7484.06,7585.51,,7571.365
1178,1999-05-19,7583.4,7634.73,7542.78,7614.6,,7588.755
1179,1999-05-20,7665.66,7701.26,7603.51,7608.88,,7652.385
1180,1999-05-21,7646.16,7696.97,7594.76,7606.69,,7645.865
1181,1999-05-24,7626.71,7644.97,7538.52,7588.23,,7591.745
1182,1999-05-25,7544.31,7553.35,7409.66,7417.03,,7481.505
1183,1999-05-26,7348.88,7460.87,7348.88,7426.63,,7404.875
1184,1999-05-27,7498.94,7510.42,7440.72,7469.01,,7475.57
1185,1999-05-28,7463.29,7465.8,7377.06,7387.37,,7421.43
1186,1999-05-31,7449.1,7449.1,7304.44,7316.57,,7376.77
1187,1999-06-01,7333.69,7397.62,7313.12,7397.62,,7355.37
1188,1999-06-02,7429.66,7493.68,7429.66,7488.03,,7461.67
1189,1999-06-03,7552.36,7604.51,7552.36,7572.91,,7578.435
1190,1999-06-04,7613.15,7628.14,7576.98,7590.44,,7602.56
1191,1999-06-07,7708.38,7818.09,7688.84,7802.69,,7753.465
1192,1999-06-08,7900.93,7940.38,7858.61,7892.13,,7899.495
1193,1999-06-09,7928.24,7980.11,7900.89,7957.71,,7940.5
1194,1999-06-10,7993.61,8058.18,7985.48,7996.76,,8021.83
1195,1999-06-11,8008.96,8028.39,7937.77,7979.4,,7983.08
1196,1999-06-14,8023.71,8039.64,7926.53,7973.58,,7983.085
1197,1999-06-15,8091.81,8109.28,7940.9,7960.0,,8025.09
1198,1999-06-16,7994.33,8059.02,7924.41,8059.02,,7991.715
1199,1999-06-17,8155.44,8290.25,8155.44,8274.36,,8222.845
1200,1999-06-21,8361.05,8483.95,8308.43,8413.48,,8396.19
1201,1999-06-22,8482.38,8640.11,8446.0,8608.91,,8543.055
1202,1999-06-23,8607.54,8661.39,8486.97,8492.32,,8574.18
1203,1999-06-24,8497.9,8627.88,8433.74,8589.31,,8530.81
1204,1999-06-25,8469.12,8497.6,8251.65,8265.96,,8374.625
1205,1999-06-28,8281.7,8341.85,8240.35,8281.45,,8291.1
1206,1999-06-29,8428.84,8514.27,8407.95,8514.27,,8461.11
1207,1999-06-30,8576.78,8576.78,8444.59,8467.37,,8510.685
1208,1999-07-02,8508.79,8642.62,8508.79,8572.09,,8575.705
1209,1999-07-05,8588.15,8668.15,8535.03,8593.35,,8601.59
1210,1999-07-06,8631.25,8663.92,8446.19,8454.49,,8555.055
1211,1999-07-07,8464.75,8500.61,8390.99,8470.07,,8445.8
1212,1999-07-08,8533.87,8610.9,8525.43,8592.43,,8568.165
1213,1999-07-09,8624.38,8663.06,8538.82,8550.27,,8600.94
1214,1999-07-12,8582.89,8592.05,8455.14,8463.9,,8523.595
1215,1999-07-13,8441.14,8441.14,8194.97,8204.5,,8318.055
1216,1999-07-14,8162.72,8249.16,7792.54,7888.66,,8020.85
1217,1999-07-15,7868.47,7964.99,7737.38,7918.04,,7851.185
1218,1999-07-16,7987.26,8024.19,7402.53,7411.58,,7713.36
1219,1999-07-19,7364.88,7455.22,7192.99,7386.89,,7324.105
1220,1999-07-20,7543.61,7826.49,7543.61,7806.85,,7685.05
1221,1999-07-21,7663.69,7830.76,7640.32,7786.65,,7735.54
1222,1999-07-22,7743.42,7798.94,7671.64,7678.67,,7735.29
1223,1999-07-23,7634.82,7735.52,7619.41,7724.52,,7677.465
1224,1999-07-26,7702.08,7730.6,7590.05,7595.71,,7660.325
1225,1999-07-27,7510.11,7538.53,7329.74,7367.97,,7434.135
1226,1999-07-28,7485.25,7533.87,7433.53,7484.5,,7483.7
1227,1999-07-29,7513.08,7513.08,7343.58,7359.37,,7428.33
1228,1999-07-30,7169.35,7420.84,7150.04,7413.11,,7285.44
1229,1999-08-02,7340.88,7355.15,7176.54,7195.94,,7265.845
1230,1999-08-03,7114.65,7191.96,6968.54,7175.19,,7080.25
1231,1999-08-04,7196.68,7274.66,7105.91,7110.8,,7190.285
1232,1999-08-05,7038.54,7078.58,6941.65,6959.73,,7010.115
1233,1999-08-06,6988.51,7031.8,6817.58,6823.52,,6924.69
1234,1999-08-09,7077.62,7110.82,7017.86,7028.01,,7064.34
1235,1999-08-10,7051.33,7269.6,7030.26,7269.6,,7149.93
1236,1999-08-11,7276.96,7321.0,7206.02,7228.68,,7263.51
1237,1999-08-12,7294.53,7393.89,7277.81,7330.24,,7335.85
1238,1999-08-13,7530.52,7683.03,7504.88,7626.05,,7593.955
1239,1999-08-16,7748.15,8018.47,7748.15,8018.47,,7883.31
1240,1999-08-17,8043.0,8101.41,7924.01,8083.43,,8012.71
1241,1999-08-18,8105.07,8155.74,7992.15,7993.71,,8073.945
1242,1999-08-19,7959.53,8005.43,7916.43,7964.67,,7960.93
1243,1999-08-20,7976.84,8135.66,7975.52,8117.42,,8055.59
1244,1999-08-23,8168.77,8193.76,8086.27,8119.98,,8140.015
1245,1999-08-24,8212.38,8255.48,7984.39,7984.39,,8119.935
1246,1999-08-25,7999.13,8133.95,7954.35,8127.09,,8044.15
1247,1999-08-26,8171.28,8240.17,8077.18,8097.57,,8158.675
1248,1999-08-27,8082.91,8135.24,8027.86,8053.97,,8081.55
1249,1999-08-30,8054.83,8159.56,8041.42,8071.36,,8100.49
1250,1999-08-31,8075.8,8196.66,8072.45,8157.73,,8134.555
1251,1999-09-01,8225.61,8360.84,8225.61,8273.33,,8293.225
1252,1999-09-02,8349.03,8414.6,8214.61,8226.15,,8314.605
1253,1999-09-03,8208.7,8217.24,8069.07,8073.97,,8143.155
1254,1999-09-06,8072.77,8135.37,8006.25,8130.28,,8070.81
1255,1999-09-07,8184.46,8196.38,7933.28,7945.76,,8064.83
1256,1999-09-08,7968.83,8033.31,7891.66,7973.3,,7962.485
1257,1999-09-09,7988.09,8048.14,7955.81,8025.02,,8001.975
1258,1999-09-10,8105.73,8175.36,8089.86,8161.46,,8132.61
1259,1999-09-13,8201.0,8250.73,8159.19,8178.69,,8204.96
1260,1999-09-14,8195.61,8200.53,8054.87,8092.02,,8127.7
1261,1999-09-15,8077.41,8117.97,7969.38,7971.04,,8043.675
1262,1999-09-16,7897.56,8003.4,7897.56,7968.9,,7950.48
1263,1999-09-17,7987.74,8043.51,7903.3,7916.92,,7973.405
1264,1999-09-20,8028.42,8028.42,7947.94,7972.14,,7988.18
1265,1999-09-27,7789.84,7789.84,7755.86,7759.93,,7772.85
1266,1999-09-28,7636.47,7636.47,7537.47,7577.85,,7586.97
1267,1999-09-29,7464.82,7615.45,7415.58,7615.45,,7515.515
1268,1999-09-30,7598.96,7680.32,7566.99,7598.79,,7623.655
1269,1999-10-01,7633.08,7704.76,7613.92,7694.99,,7659.34
1270,1999-10-04,7668.69,7715.38,7592.34,7685.48,,7653.86
1271,1999-10-05,7743.72,7763.61,7545.72,7557.01,,7654.665
1272,1999-10-06,7526.91,7546.78,7462.45,7501.63,,7504.615
1273,1999-10-07,7558.09,7656.85,7558.09,7612.0,,7607.47
1274,1999-10-08,7610.29,7634.76,7542.47,7552.98,,7588.615
1275,1999-10-11,7555.94,7642.26,7554.07,7607.11,,7598.165
1276,1999-10-12,7658.21,7840.57,7658.21,7835.37,,7749.39
1277,1999-10-13,7806.92,7890.86,7784.44,7836.94,,7837.65
1278,1999-10-14,7777.7,7879.91,7773.21,7879.91,,7826.56
1279,1999-10-15,7923.19,7959.52,7815.78,7819.09,,7887.65
1280,1999-10-18,7806.25,7818.6,7726.62,7745.26,,7772.61
1281,1999-10-19,7759.93,7798.16,7684.3,7692.96,,7741.23
1282,1999-10-20,7713.98,7721.15,7653.85,7666.64,,7687.5
1283,1999-10-21,7766.74,7792.72,7640.31,7654.9,,7716.515
1284,1999-10-22,7676.58,7691.34,7505.07,7559.63,,7598.205
1285,1999-10-25,7595.64,7680.87,7570.71,7680.87,,7625.79
1286,1999-10-26,7690.31,7787.38,7667.21,7700.29,,7727.295
1287,1999-10-27,7731.17,7780.21,7669.83,7701.22,,7725.02
1288,1999-10-28,7729.62,7744.33,7669.49,7681.85,,7706.91
1289,1999-10-29,7751.51,7776.85,7667.81,7706.67,,7722.33
1290,1999-11-01,7874.26,7874.26,7808.9,7814.89,,7841.58
1291,1999-11-02,7782.08,7805.82,7687.72,7721.59,,7746.77
1292,1999-11-03,7729.1,7741.52,7572.11,7580.09,,7656.815
1293,1999-11-04,7589.93,7605.95,7460.21,7469.23,,7533.08
1294,1999-11-05,7466.63,7498.19,7404.31,7488.26,,7451.25
1295,1999-11-08,7318.28,7411.73,7261.31,7401.49,,7336.52
1296,1999-11-09,7420.05,7430.4,7362.63,7362.69,,7396.515
1297,1999-11-10,7356.73,7506.46,7355.38,7401.81,,7430.92
1298,1999-11-11,7464.99,7549.29,7464.99,7532.22,,7507.14
1299,1999-11-15,7575.61,7577.56,7492.48,7545.03,,7535.02
1300,1999-11-16,7576.95,7646.25,7554.17,7606.2,,7600.21
1301,1999-11-17,7687.04,7687.04,7612.19,7645.78,,7649.615
1302,1999-11-18,7633.61,7745.9,7626.05,7718.06,,7685.975
1303,1999-11-19,7787.2,7858.4,7756.34,7770.81,,7807.37
1304,1999-11-22,7967.05,8088.53,7944.02,8052.31,,8016.275
1305,1999-11-23,8105.12,8152.33,8007.17,8046.19,,8079.75
1306,1999-11-24,7938.12,8034.73,7913.21,7921.85,,7973.97
1307,1999-11-25,7919.68,7933.82,7808.92,7904.53,,7871.37
1308,1999-11-26,7913.91,7955.13,7558.4,7595.44,,7756.765
1309,1999-11-29,7706.12,7823.9,7688.58,7823.9,,7756.24
1310,1999-11-30,7884.23,7884.23,7707.17,7720.87,,7795.7
1311,1999-12-01,7702.18,7767.08,7684.42,7766.2,,7725.75
1312,1999-12-02,7802.83,7872.58,7773.75,7806.26,,7823.165
1313,1999-12-03,7880.49,7957.09,7858.58,7933.17,,7907.835
1314,1999-12-06,7982.74,7982.74,7859.76,7894.46,,7921.25
1315,1999-12-07,7899.85,7907.01,7812.29,7827.05,,7859.65
1316,1999-12-08,7826.85,7910.76,7798.92,7811.02,,7854.84
1317,1999-12-09,7797.61,7862.37,7728.77,7738.84,,7795.57
1318,1999-12-10,7764.83,7767.99,7687.36,7733.74,,7727.675
1319,1999-12-13,7782.48,7883.61,7782.48,7883.61,,7833.045
1320,1999-12-14,7921.2,7932.47,7841.82,7850.14,,7887.145
1321,1999-12-15,7832.26,7895.22,7831.87,7859.89,,7863.545
1322,1999-12-16,7891.08,7904.84,7721.5,7739.76,,7813.17
1323,1999-12-17,7762.88,7792.99,7684.64,7723.22,,7738.815
1324,1999-12-20,7821.95,7827.49,7741.84,7782.94,,7784.665
1325,1999-12-21,7819.18,7946.05,7815.85,7934.26,,7880.95
1326,1999-12-22,8033.37,8079.57,7979.72,8002.76,,8029.645
1327,1999-12-23,8043.88,8117.73,8013.18,8083.49,,8065.455
1328,1999-12-24,8144.84,8225.39,8144.84,8219.45,,8185.115
1329,1999-12-27,8274.83,8415.07,8253.79,8415.07,,8334.43
