,Date,Openly,Highest,Lowermost,Close,Volume,avg
0,1995-01-05,7129.94,7144.7,7040.72,7051.49,,7092.71
1,1995-01-06,7086.88,7086.88,6884.61,6919.31,,6985.745
2,1995-01-07,6948.27,6948.27,6855.55,6915.4,,6901.91
3,1995-01-09,6948.73,6959.74,6869.08,6869.08,,6914.41
4,1995-01-10,6817.85,6838.95,6706.67,6756.88,,6772.81
5,1995-01-11,6736.11,6791.05,6720.07,6777.24,,6755.56
6,1995-01-12,6749.62,6749.62,6571.93,6609.5,,6660.775
7,1995-01-13,6673.26,6685.93,6582.05,6582.4,,6633.99
8,1995-01-14,6565.52,6565.52,6450.79,6511.3,,6508.155
9,1995-01-16,6556.98,6556.98,6473.06,6536.65,,6515.02
10,1995-01-17,6564.25,6574.77,6487.73,6515.79,,6531.25
11,1995-01-18,6558.74,6638.41,6546.99,6623.52,,6592.7
12,1995-01-19,6635.62,6672.63,6598.02,6598.02,,6635.325
13,1995-01-20,6572.85,6572.85,6370.49,6372.01,,6471.67
14,1995-01-21,6344.29,6432.2,6278.54,6431.99,,6355.37
15,1995-01-23,6446.9,6451.42,6290.96,6295.04,,6371.19
16,1995-01-24,6180.25,6242.48,6167.79,6167.79,,6205.135
17,1995-01-25,6277.07,6329.91,6260.41,6299.62,,6295.16
18,1995-01-26,6293.33,6348.07,6270.68,6307.85,,6309.375
19,1995-02-04,6444.53,6455.3,6328.38,6328.38,,6391.84
20,1995-02-06,6298.01,6417.28,6298.01,6417.28,,6357.645
21,1995-02-07,6474.84,6554.32,6474.84,6531.82,,6514.58
22,1995-02-08,6538.92,6549.19,6491.04,6526.74,,6520.115
23,1995-02-09,6578.69,6601.47,6530.0,6543.42,,6565.735
24,1995-02-10,6574.78,6574.78,6519.57,6554.78,,6547.175
25,1995-02-11,6592.13,6598.84,6548.97,6565.24,,6573.905
26,1995-02-13,6578.07,6578.07,6498.21,6498.21,,6538.14
27,1995-02-14,6505.53,6525.82,6478.31,6504.59,,6502.065
28,1995-02-15,6530.01,6581.77,6528.71,6576.25,,6555.24
29,1995-02-16,6642.03,6668.63,6617.05,6646.55,,6642.84
30,1995-02-17,6691.36,6691.36,6635.72,6646.25,,6663.54
31,1995-02-18,6696.29,6696.29,6636.52,6650.29,,6666.405
32,1995-02-20,6688.01,6689.18,6604.76,6612.97,,6646.97
33,1995-02-21,6625.32,6638.47,6594.15,6633.03,,6616.31
34,1995-02-22,6652.82,6652.82,6595.86,6603.88,,6624.34
35,1995-02-23,6583.49,6614.61,6547.96,6552.95,,6581.285
36,1995-02-24,6598.34,6640.57,6582.79,6596.07,,6611.68
37,1995-02-25,6615.64,6625.51,6585.04,6591.36,,6605.275
38,1995-02-27,6404.55,6449.46,6284.75,6388.57,,6367.105
39,1995-02-28,6436.46,6509.33,6408.83,6509.33,,6459.08
40,1995-03-01,6436.26,6446.95,6329.52,6337.83,,6388.235
41,1995-03-02,6436.47,6474.76,6419.0,6450.39,,6446.88
42,1995-03-03,6478.98,6516.83,6478.98,6516.83,,6497.905
43,1995-03-04,6528.32,6530.74,6497.24,6530.74,,6513.99
44,1995-03-06,6529.34,6540.13,6470.9,6474.94,,6505.515
45,1995-03-07,6479.35,6496.21,6437.46,6480.76,,6466.835
46,1995-03-08,6478.59,6511.29,6421.26,6426.07,,6466.275
47,1995-03-09,6432.3,6466.9,6382.24,6388.36,,6424.57
48,1995-03-10,6435.94,6460.0,6428.81,6453.52,,6444.405
49,1995-03-11,6495.5,6509.89,6476.92,6480.98,,6493.405
50,1995-03-13,6520.41,6525.89,6496.41,6503.18,,6511.15
51,1995-03-14,6501.05,6501.05,6455.18,6480.31,,6478.115
52,1995-03-15,6524.07,6557.33,6519.01,6555.19,,6538.17
53,1995-03-16,6596.75,6604.44,6556.35,6564.66,,6580.395
54,1995-03-17,6614.79,6618.4,6582.59,6594.26,,6600.495
55,1995-03-18,6625.43,6625.43,6574.45,6587.96,,6599.94
56,1995-03-20,6585.25,6585.25,6540.76,6541.58,,6563.005
57,1995-03-21,6585.79,6587.4,6520.08,6524.87,,6553.74
58,1995-03-22,6438.85,6479.01,6355.71,6479.01,,6417.36
59,1995-03-23,6496.31,6496.31,6436.86,6441.85,,6466.585
60,1995-03-24,6434.02,6471.63,6428.6,6433.44,,6450.115
61,1995-03-25,6461.75,6465.73,6394.89,6401.39,,6430.31
62,1995-03-27,6404.8,6470.28,6366.75,6470.28,,6418.515
63,1995-03-28,6506.75,6506.75,6462.33,6464.76,,6484.54
64,1995-03-30,6482.44,6514.46,6460.95,6514.46,,6487.705
65,1995-03-31,6534.64,6557.97,6520.07,6524.0,,6539.02
66,1995-04-01,6537.18,6573.54,6503.97,6573.54,,6538.755
67,1995-04-06,6599.29,6599.29,6571.01,6575.71,,6585.15
68,1995-04-07,6593.69,6593.69,6515.16,6518.83,,6554.425
69,1995-04-08,6548.57,6552.49,6500.35,6552.49,,6526.42
70,1995-04-10,6561.93,6583.28,6525.15,6528.98,,6554.215
71,1995-04-11,6535.1,6541.02,6490.05,6497.06,,6515.535
72,1995-04-12,6532.52,6532.52,6453.94,6462.34,,6493.23
73,1995-04-13,6476.57,6476.57,6409.51,6417.58,,6443.04
74,1995-04-14,6427.9,6444.63,6356.55,6356.55,,6400.59
75,1995-04-15,6351.87,6394.69,6244.51,6247.75,,6319.6
76,1995-04-17,6218.43,6239.74,6086.7,6112.07,,6163.22
77,1995-04-18,6163.18,6163.18,6050.81,6106.56,,6106.995
78,1995-04-19,6141.59,6141.59,6095.02,6109.6,,6118.305
79,1995-04-20,6132.43,6167.56,6125.73,6136.54,,6146.645
80,1995-04-21,6158.92,6158.92,5932.58,5943.21,,6045.75
81,1995-04-22,5981.13,5999.06,5913.18,5987.93,,5956.12
82,1995-04-24,5992.32,6006.51,5945.93,5963.86,,5976.22
83,1995-04-25,5936.46,5936.46,5776.68,5803.14,,5856.57
84,1995-04-26,5858.57,5864.01,5667.55,5735.23,,5765.78
85,1995-04-27,5769.76,5898.53,5727.79,5898.53,,5813.16
86,1995-04-28,5820.07,5854.92,5786.91,5825.99,,5820.915
87,1995-04-29,5853.81,5861.11,5803.78,5803.78,,5832.445
88,1995-05-01,5821.33,5821.33,5763.44,5789.98,,5792.385
89,1995-05-02,5738.25,5771.81,5661.59,5771.81,,5716.7
90,1995-05-03,5799.47,5843.89,5777.49,5779.68,,5810.69
91,1995-05-04,5797.79,5797.79,5699.14,5699.14,,5748.465
92,1995-05-05,5645.88,5670.53,5571.95,5574.99,,5621.24
93,1995-05-06,5537.65,5642.16,5537.65,5642.16,,5589.905
94,1995-05-08,5630.11,5674.53,5615.46,5674.53,,5644.995
95,1995-05-09,5674.36,5789.45,5674.36,5775.15,,5731.905
96,1995-05-10,5768.45,5794.69,5742.31,5765.42,,5768.5
97,1995-05-11,5785.41,5820.52,5768.22,5776.18,,5794.37
98,1995-05-12,5758.24,5768.65,5715.87,5740.02,,5742.26
99,1995-05-13,5789.33,5848.09,5788.6,5844.29,,5818.345
